page,Economy,Human Rights,Peace,Environment,Land Reform,Health,Education,Security
266,0,4,11,0,1,0,0,3
267,0,5,1,0,0,0,0,0
268,0,1,1,0,0,0,0,0
269,2,0,1,5,7,1,0,1
270,0,2,1,2,8,0,3,3
271,0,6,1,0,1,0,0,1
272,3,9,5,1,4,0,0,2
273,0,0,0,0,0,0,0,1
274,1,1,0,8,1,1,2,2
275,1,0,0,11,2,2,0,0
276,0,7,1,8,10,1,0,0
277,6,4,0,7,5,1,2,0
278,0,0,0,0,0,0,0,0
279,0,3,1,0,3,1,1,0
280,0,3,0,2,0,0,0,4
281,1,7,4,0,0,0,0,2
282,0,5,2,6,2,2,0,1
283,0,2,0,0,1,0,0,2
284,0,5,0,0,0,0,0,0
285,0,0,0,0,0,0,1,0
286,2,4,0,0,0,0,1,0
287,0,0,0,0,1,0,0,1
288,1,3,0,2,1,0,0,1
289,0,6,0,0,1,1,2,2
290,12,6,0,0,1,0,2,0
291,6,3,0,0,0,0,0,1
292,0,0,0,0,0,0,0,0
293,0,4,0,0,1,0,4,1
294,0,3,1,0,7,0,2,2
295,1,2,0,0,0,1,0,5
296,0,3,0,0,1,0,0,1
297,0,1,0,0,0,0,0,1
298,0,0,0,0,0,0,0,0
299,0,1,1,0,1,2,0,3
300,0,5,0,0,1,1,0,1
301,0,2,0,0,0,2,0,1
302,2,2,1,0,0,0,0,1
303,0,1,0,1,1,0,0,0
304,0,0,0,0,0,0,0,0
305,3,6,1,2,7,2,0,0
306,1,1,0,1,2,0,3,0
307,1,3,0,4,4,2,9,1
308,1,1,0,0,5,0,0,1
309,0,1,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0
311,2,8,0,0,1,0,0,0
312,0,4,0,0,1,0,1,3
313,1,1,0,0,7,2,3,2
314,0,7,1,1,4,0,0,2
315,3,1,0,0,0,0,1,0
316,0,1,0,0,0,0,0,0
317,1,4,1,6,5,0,0,1
318,0,3,0,0,1,1,1,1
319,0,0,0,0,0,0,0,0
320,0,5,0,0,14,0,1,0
321,1,2,0,4,2,1,1,0
322,4,2,1,4,1,7,4,3
323,0,1,0,0,1,1,0,0
324,0,0,0,0,0,0,0,0
325,0,6,0,2,8,1,4,1
326,0,7,1,0,2,1,1,0
327,0,13,0,0,3,0,3,1
328,4,11,2,2,7,1,5,1
329,1,10,1,6,3,1,4,0
330,0,0,0,0,0,0,0,0
331,6,9,0,0,2,1,0,2
332,2,9,0,1,4,1,2,2
333,0,8,3,0,2,0,1,3
334,1,5,2,2,3,0,0,0
335,0,0,1,0,0,0,1,1
336,1,0,0,0,0,0,0,0
337,0,0,0,0,5,2,0,2
338,9,6,0,0,0,0,0,0
339,4,9,2,0,4,0,1,1
340,4,6,1,1,13,0,1,0
341,0,1,0,0,0,0,1,0
342,0,0,0,0,0,0,0,1
343,2,4,2,0,4,1,1,4
344,3,4,3,0,0,1,2,8
345,0,4,1,0,1,0,0,12
346,2,7,6,1,5,3,3,11
347,4,1,3,6,4,0,1,9
348,5,5,0,1,1,2,2,12
349,2,0,0,0,1,4,0,5
350,0,1,0,0,0,0,0,0
351,0,17,1,0,0,2,1,0
352,1,8,0,0,0,4,2,0
353,2,21,0,0,2,0,3,0
354,4,36,1,0,2,2,2,0
355,5,17,1,0,7,2,2,0
356,2,23,6,0,0,1,3,0
357,0,5,0,0,0,0,1,0
358,0,0,0,0,1,0,0,0
359,3,6,1,0,2,2,0,0
360,0,1,0,5,4,1,2,0
361,4,1,1,0,0,3,0,0
362,2,0,1,3,2,3,0,0
363,2,0,2,0,4,1,0,0
364,1,0,0,0,0,3,0,0
365,0,1,1,1,1,1,1,2
366,0,1,0,0,0,0,0,0
367,0,8,0,0,0,1,0,3
368,0,8,1,0,0,0,1,7
369,0,13,0,0,0,2,0,0
370,0,18,1,0,4,3,2,0
371,0,26,4,1,10,3,1,0
372,1,15,3,1,1,3,1,1
373,0,0,0,0,0,0,0,0
374,4,5,0,0,6,1,1,0
375,0,3,4,3,8,0,0,3
376,2,4,0,6,5,2,0,0
377,5,7,2,1,3,1,4,6
378,6,4,2,0,6,1,2,2
379,4,0,0,1,3,1,1,0
380,0,0,0,0,0,0,0,0
381,0,11,1,1,4,0,1,0
382,0,4,4,0,2,1,0,1
383,0,6,1,0,2,0,3,0
384,2,20,5,5,7,5,2,1
385,0,5,3,1,0,0,1,0
386,0,0,0,0,0,0,0,0
387,0,7,1,2,3,1,2,2
388,6,9,2,4,7,0,5,3
389,5,5,7,2,1,0,3,2
390,1,3,1,1,2,0,5,0
391,0,0,0,0,0,0,0,0
392,1,5,1,0,2,0,1,0
393,0,6,0,2,1,0,3,1
394,2,1,0,3,0,3,6,0
395,2,5,5,2,0,1,4,2
396,11,4,4,1,3,0,4,2
397,4,0,0,2,0,0,1,0
398,0,0,0,0,0,0,0,0
399,2,0,0,0,0,1,0,0
400,0,2,1,0,0,1,0,0
401,0,5,2,0,0,1,0,3
402,0,5,2,0,0,0,0,0
403,0,6,1,0,0,0,1,0
404,4,8,0,0,3,0,1,0
405,0,3,1,0,0,0,0,0
406,0,0,0,0,0,0,0,0
407,1,2,0,1,1,0,1,1
408,0,4,1,1,2,1,2,2
409,1,9,2,0,2,2,0,0
